Model,overall,instruct,plan,reason,retrieve,understand,review,opensourced,link
GPT-3.5-Turbo (Nov 2023),80.0, 98.2, 73.3, 67.3, 87.9, 83.5, 70.0,FALSE,https://openai.com/blog/new-models-and-developer-products-announced-at-devday
GPT-4-Turbo (Nov 2023),85.9, 97.6, 87.0, 68.4, 89.2, 86.8, 86.0,FALSE,https://openai.com/blog/new-models-and-developer-products-announced-at-devday
Claude-2.1 (Nov 2023),74.7, 72.6, 82.3, 64.2, 81.6, 80.7, 66.9,FALSE,https://www.anthropic.com/index/claude-2-1
LLaMA2-7B, 25.3, 14.8, 26.2, 23.1, 17.7, 31.5, 38.2,TRUE,https://ai.meta.com/llama/
Vicuna-7B,43.6, 60.2, 33.0, 52.0, 16.1, 58.3, 42.1,TRUE,https://github.com/lm-sys/FastChat
InternLM-7B,49.8, 76.3, 39.2, 40.8, 43.9, 55.4, 42.9,TRUE,https://github.com/InternLM/InternLM
AgentLM-7B,31.5, 24.5, 26.9, 28.6, 34.5, 44.8, 29.8,TRUE,https://github.com/THUDM/AgentTuning
Baichuan2-7B,48.9, 48.0, 43.1, 47.5, 50.1, 61.8, 43.1,TRUE,https://github.com/baichuan-inc/Baichuan2
ChatGLM3-6B,52.6, 74.3, 45.7, 40.1, 41.4, 59.1, 55.0,TRUE,https://github.com/THUDM/ChatGLM3
Qwen-7B,63.0, 82.3, 62.2, 50.0, 59.1, 67.0, 57.1,TRUE,https://github.com/QwenLM/Qwen
LLaMA2-13B,35.0, 26.3, 44.5, 32.8, 31.0, 48.6, 26.7,TRUE,https://ai.meta.com/llama/
Vicuna-13B,50.0, 62.8, 38.0, 54.2, 18.5, 64.5, 62.2,TRUE,https://github.com/lm-sys/FastChat
WizardLM-13B,43.3, 52.3, 59.5, 49.0, 37.7, 57.5, 3.7,TRUE,https://github.com/nlpxucan/WizardLM
Baichuan2-13B,56.5, 83.0, 50.0, 45.2, 58.2, 60.6, 41.7,TRUE,https://github.com/baichuan-inc/Baichuan2
Qwen-14B,70.6, 96.5, 77.1, 57.0, 73.0, 76.5, 43.7,TRUE,https://github.com/QwenLM/Qwen
LLaMA2-70B,46.3, 58.4, 49.9, 29.8, 38.9, 44.6, 56.1,TRUE,https://ai.meta.com/llama/
WizardLM-70B,44.2, 36.6, 69.8, 48.6, 32.6, 54.5, 23.2,TRUE,https://github.com/nlpxucan/WizardLM
Qwen-72B,73.5, 97.4, 83.2, 61.8, 70.3, 76.6, 51.3,TRUE,https://github.com/QwenLM/Qwen
Mistral-7B,56.4, 78.0, 53.8, 40.3, 51.4, 54.6, 60.2,TRUE,https://mistral.ai/news/announcing-mistral-7b/
Nanbeige-Agent-32B, 74.6, 81.1, 73.6, 64.2, 79.8, 81.5, 67.2, TRUE, https://huggingface.co/Nanbeige
